timestamp,open,high,low,close,volume
21/04/2005,91.3,91.42,90.7,90.75,1258300
20/04/2005,91.22,91.77,91.18,91.67,1617900
19/04/2005,91.34,92.04,91.32,91.9,1842600
18/04/2005,91.37,91.39,90.94,91.02,3510900
15/04/2005,90.54,91.12,90.22,91.09,2957300
14/04/2005,90.08,90.12,89.66,89.9,1462100
13/04/2005,90.35,90.44,89.8,90.04,1001700
12/04/2005,89.23,90.4,89.12,90.26,1931600
11/04/2005,88.97,89.62,88.94,89.43,1460200
08/04/2005,88.56,89,88.34,88.95,438600
07/04/2005,89.3,89.58,88.61,88.64,973000
06/04/2005,89.41,89.44,89.2,89.36,402800
05/04/2005,89.24,89.36,88.93,89.05,733300
04/04/2005,89.28,89.66,89.17,89.28,754900
01/04/2005,89.53,89.66,88.5,89.3,2806300
31/03/2005,89.2,89.39,88.86,89.33,2410900
30/03/2005,88.2,88.75,88.16,88.69,1098200
29/03/2005,88.08,88.28,87.99,88.25,1135000
28/03/2005,87.99,88,87.72,87.73,382200
24/03/2005,88.32,88.46,88.18,88.27,746800
23/03/2005,87.53,88.16,87.53,88.09,1951700
22/03/2005,88.94,89.05,87.54,87.67,2545000
21/03/2005,88.67,88.67,88.38,88.42,898100
18/03/2005,88.9,88.98,88.67,88.67,723300
17/03/2005,89.35,89.58,89.12,89.23,1025300
16/03/2005,88.54,89.36,88.54,88.94,2097800
15/03/2005,89.29,89.3,88.4,88.4,963900
14/03/2005,88.37,89,88.3,88.96,805000
11/03/2005,88.65,88.87,88.4,88.43,1017900
10/03/2005,88.74,89.33,88.39,89.08,1357700
09/03/2005,89.18,89.4,88.44,88.54,2549600
08/03/2005,90.13,90.27,89.94,90.01,680400
07/03/2005,90.85,90.99,90.75,90.87,889800
04/03/2005,89.99,90.67,89.87,90.51,1567000
03/03/2005,89.62,89.8,89.45,89.54,1600600
02/03/2005,89.45,89.72,89.42,89.59,1139300
01/03/2005,89.54,89.86,89.45,89.71,1648500
28/02/2005,91.1,91.1,89.89,90.02,2797400
25/02/2005,90.89,91.14,90.62,91,588800
24/02/2005,91.16,91.33,90.56,90.56,798500
23/02/2005,91.14,91.17,90.43,90.76,1115000
22/02/2005,90.63,90.75,90.4,90.46,914600
18/02/2005,90.55,90.95,90.46,90.86,2656300
17/02/2005,91.76,92.14,91.6,91.68,1146500
16/02/2005,92.51,92.57,91.8,92.26,1189700
15/02/2005,92.6,92.86,92.57,92.61,900100
14/02/2005,92.9,93.21,92.73,93.08,295000
11/02/2005,92.46,92.98,92.4,92.79,1275100
10/02/2005,93.49,93.68,92.75,92.85,1239900
09/02/2005,93.44,94.24,93.38,94.12,2125800
08/02/2005,93.37,94.12,93.33,93.87,1383800
07/02/2005,92.74,93.42,92.7,93.34,1064600
04/02/2005,92.47,92.94,92.46,92.65,3483900
03/02/2005,91.06,91.44,91.06,91.35,506000
02/02/2005,91.2,91.46,91.09,91.43,760300
01/02/2005,91.44,91.5,91.05,91.22,948200
31/01/2005,91.33,91.75,91.29,91.71,1313900
28/01/2005,91.22,91.6,91.17,91.45,1128000
27/01/2005,90.52,90.7,90.34,90.54,463900
26/01/2005,90.85,90.92,90.63,90.71,709800
25/01/2005,91.36,91.4,90.51,90.54,1942200
24/01/2005,91.09,91.5,91,91.4,561400
21/01/2005,90.6,91.05,90.52,91.01,606300
20/01/2005,90.42,91.02,90.35,90.91,1064200
19/01/2005,90.8,90.84,90.27,90.73,655800
18/01/2005,89.8,90.49,89.73,90.47,1251600
14/01/2005,89.9,90.4,89.81,90.17,1043800
13/01/2005,89.75,90.18,89.73,90.18,1876700
12/01/2005,88.87,89.44,88.8,89.32,722000
11/01/2005,88.9,89.28,88.74,89.2,845100
10/01/2005,88.64,88.72,88.47,88.68,379400
07/01/2005,88.76,88.87,88.35,88.54,738700
06/01/2005,88.29,88.54,88.22,88.34,1057400
05/01/2005,87.99,88.55,87.94,88.28,1094100
04/01/2005,88.72,88.75,87.81,87.81,1935400
03/01/2005,88.18,88.84,88.16,88.74,1168600
31/12/2004,88.37,88.65,88.3,88.55,1056400
30/12/2004,87.8,88.45,87.74,88.33,626400
29/12/2004,87.87,88,87.57,87.74,567500
28/12/2004,87.86,87.91,87.4,87.83,1253500
27/12/2004,88.33,88.37,87.7,87.9,1322600
23/12/2004,88.74,88.79,88.57,88.59,738600
22/12/2004,89.21,89.21,88.7,88.88,511600
21/12/2004,89.06,89.24,88.9,89.18,245200
20/12/2004,88.87,89.1,88.82,88.91,230500
17/12/2004,88.48,88.88,88.425,88.75,1319800
16/12/2004,89.89,89.89,88.85,88.87,1998200
15/12/2004,89.95,90.25,89.84,90.2,2511500
14/12/2004,88.74,89.44,88.7,89.39,1568200
13/12/2004,88.82,89.29,88.8,89.04,677400
10/12/2004,88.95,89.05,88.67,88.85,1445000
09/12/2004,88.99,89.27,88.57,88.63,1428900
08/12/2004,88.41,89.22,88.36,89.22,2639700
07/12/2004,87.74,87.89,87.5,87.85,784300
06/12/2004,87.49,87.85,87.45,87.74,1314100
03/12/2004,87.15,87.66,86.93,87.44,2233700
02/12/2004,86.17,86.3,86.01,86.1,2881500
01/12/2004,86.7,86.75,86.18,86.45,1939800
30/11/2004,86.94,87.16,86.63,86.94,1754500
29/11/2004,87.47,87.6,87.17,87.31,1546400
26/11/2004,88.29,88.34,88.23,88.25,697100
24/11/2004,88.91,88.91,88.73,88.83,309700
23/11/2004,88.5,89.2,88.48,88.83,747600
22/11/2004,88.35,88.87,88.3,88.72,511500
19/11/2004,88.9,89.03,88.09,88.26,1244500
18/11/2004,88.55,89.06,88.41,88.97,891500
17/11/2004,87.89,88.76,87.89,88.7,1249400
16/11/2004,87.81,87.95,87.7,87.95,520900
15/11/2004,87.95,88,87.74,87.95,763200
12/11/2004,87.34,88.11,87.33,87.87,1125900
11/11/2004,87.45,87.45,86.93,86.93,309700
10/11/2004,87.31,87.47,86.91,87.12,1303400
09/11/2004,87.4,87.7285,87.4,87.45,373000
08/11/2004,87.5,87.6,87.4,87.5,454100
05/11/2004,87.74,87.93,87.52,87.81,1838000
04/11/2004,88.86,89.1,88.75,88.78,2285100
03/11/2004,88.03,88.75,88,88.69,1066600
02/11/2004,88.48,88.73,88.31,88.65,709300
01/11/2004,88.75,89,88.4,88.52,923500
29/10/2004,89.11,89.49,88.92,89.44,1169300
28/10/2004,88.74,89.16,88.52,89.03,839200
27/10/2004,89.87,90.05,88.72,88.74,2351800
26/10/2004,89.95,90.01,89.62,89.62,503700
25/10/2004,90.07,90.09,89.8,89.89,246800
22/10/2004,89.5,89.82,89.37,89.82,491500
21/10/2004,89.44,89.9,89.44,89.61,1649200
20/10/2004,89.26,89.61,89.2,89.55,1127100
19/10/2004,88.33,88.99,88.27,88.94,505400
18/10/2004,88.65,88.79,88.37,88.71,613600
15/10/2004,88.81,88.99,88.18,88.67,746400
14/10/2004,88.5,89.01,88.41,88.98,717100
13/10/2004,88,88.56,87.95,88.56,648000
12/10/2004,88.34,88.39,88.16,88.24,757900
11/10/2004,87.95,88.1,87.73,88.04,60800
08/10/2004,87.97,88.21,87.75,87.95,1534500
07/10/2004,87,87.18,86.74,86.8,2128600
06/10/2004,87.45,87.47,87.02,87.18,531300
05/10/2004,87.53,87.6985,87.42,87.58,501700
04/10/2004,87,87.6,87,87.58,1106200
01/10/2004,87.5,87.63,87.29,87.45,1999300
30/09/2004,88.14,88.37,87.96,88.25,1945700
29/09/2004,88.7,88.87,88.56,88.59,1970700
28/09/2004,89.68,89.95,89.22,89.46,1161100
27/09/2004,89.6,89.89,89.57,89.82,1420800
24/09/2004,89.35,89.49,89.1,89.43,1984300
23/09/2004,89.67,89.88,89.32,89.32,2391000
22/09/2004,88.8,89.81,88.65,89.68,2541200
21/09/2004,88.36,88.92,88.1015,88.76,1018500
20/09/2004,88.26,88.57,88.19,88.5,727200
17/09/2004,88.13,88.39,87.89,87.92,765400
16/09/2004,87.56,88.48,87.5,88.36,1103400
15/09/2004,87.5,87.5,87.18,87.37,642500
14/09/2004,87.36,87.68,87.18,87.57,695700
13/09/2004,87.2,87.53,87.12,87.48,152900
10/09/2004,87.38,87.53,87.06,87.1,711700
09/09/2004,87.22,87.58,86.86,86.97,284800
08/09/2004,86.26,87.32,86.18,87.3,584800
07/09/2004,86.24,86.58,86.19,86.57,475500
03/09/2004,86.47,86.66,86,86.66,958100
02/09/2004,87.37,87.37,86.65,86.65,867000
01/09/2004,87.7,87.7,87.15,87.51,1388900
31/08/2004,87.3,88,87.24,87.77,1721100
30/08/2004,87,87.23,86.92,87.23,259100
27/08/2004,86.83,87.03,86.64,86.82,304400
26/08/2004,86.56,86.88,86.44,86.88,478000
25/08/2004,86.32,86.64,86.25,86.39,588200
24/08/2004,85.95,86.14,85.77,86.09,1044200
23/08/2004,86.11,86.17,85.97,86.04,1007200
20/08/2004,86.58,86.75,86.4,86.54,875400
19/08/2004,86.5,86.75,86.34,86.62,372900
18/08/2004,87.03,87.06,86.4,86.414,365300
17/08/2004,86.4,86.85,86.36,86.83,182000
16/08/2004,86.47,86.53,86.0215,86.34,729400
13/08/2004,86.67,86.9,86.52,86.64,637500
12/08/2004,86,86.36,85.89,86.36,697500
11/08/2004,85.82,86.27,85.73,86.18,898400
10/08/2004,86.26,86.44,85.81,85.81,860100
09/08/2004,86.15,86.34,86.07,86.12,322100
06/08/2004,86.41,86.86,86.12,86.42,1241000
05/08/2004,84.88,85.09,84.86,84.99,623100
04/08/2004,84.68,85.12,84.5,84.75,481300
03/08/2004,84.49,84.83,84.4,84.71,509500
02/08/2004,84.5,84.61,84.32,84.37,714800
30/07/2004,84.07,84.63,84,84.59,578400
29/07/2004,83.27,83.65,83.27,83.61,519600
28/07/2004,83.22,83.53,83.04,83.42,495200
27/07/2004,84.4,84.47,83.41,83.41,961200
